siec,nrg_bal,unit,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 
R5160,FC_IND_OTH_E,KTOE,RO	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
R5160,FC_IND_OTH_E,KTOE,RS	1.763 	3.524 	1.433 	2.150 	1.433 	0.717 	0.717 	0.717 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
R5160,FC_IND_OTH_E,KTOE,SE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
R5160,FC_IND_OTH_E,KTOE,SI	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
R5160,FC_IND_OTH_E,KTOE,SK	2.760 	3.450 	0.000 	0.000 	0.000 	0.633 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	1.471 	0.000 
R5160,FC_IND_OTH_E,KTOE,TR	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
R5160,FC_IND_OTH_E,KTOE,UK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
R5160,FC_IND_OTH_E,KTOE,XK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
R5292,FC_IND_OTH_E,KTOE,AL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
R5292,FC_IND_OTH_E,KTOE,AT	27.143 	27.461 	26.668 	29.558 	27.615 	29.138 	36.461 	37.080 	36.589 	38.413 	30.913 	30.106 	27.134 	9.131 	3.223 
R5292,FC_IND_OTH_E,KTOE,BA	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
R5292,FC_IND_OTH_E,KTOE,BE	3.735 	5.666 	4.330 	4.209 	3.492 	3.334 	3.433 	5.646 	19.013 	19.142 	13.389 	9.551 	11.174 	0.502 	0.000 
R5292,FC_IND_OTH_E,KTOE,BG	0.000 	0.000 	0.000 	0.000 	0.000 	7.236 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
